indicador_id,indicador,unidad,criterio_desempate,posicion_ordenada,rango_con_empates,codigo,producto,producto_produccion_cero,apto_para_simulacion,estado_simulacion,valor
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,10,10,P132,"Servicios de mantenimiento, reparación e instalación de productos metálicos elaborados, maquinaria y equipo",False,True,apto,1.69729525334722
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,11,11,P115,Servicios de Intermediación Financiera Medidos Indirectamente (SIFMI),False,True,apto,1.68539031655709
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,12,12,P076,Productos de caucho y plástico,False,True,apto,1.66756402244784
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,13,13,P112,"Servicios de información, telecomunicaciones y radiodifusión",False,True,apto,1.59890559390801
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,14,14,P125,Servicios de arrendamiento o alquiler sin operador,False,True,apto,1.55469164560984
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,15,15,P120,"Servicios jurídicos, de contabilidad, auditoría, teneduría de libros y consultoría fiscal",False,True,apto,1.54206071044762
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,16,16,P124,Servicios de publicidad y estudios de mercado,False,True,apto,1.53433744414447
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,17,17,P117,Servicios auxiliares de la intermediación financiera,False,True,apto,1.45823196574623
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,18,18,P079,"Cemento, cal y yeso",False,True,apto,1.44381062433618
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,19,19,P134,"Servicios de apoyo a la agricultura, caza, silvicultura y pesca",False,True,apto,1.421796145235
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,20,20,P023,Aves de corral,False,True,apto,1.36261020732478
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,21,21,P128,"Servicios de seguridad, sistemas de seguridad e investigación privada",False,True,apto,1.33900647187962
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,22,22,P052,"Azúcar de caña sin refinar y refinada, melaza y los demás azúcares n.c.p.",False,True,apto,1.2821357561353
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,23,23,P103,Mantenimiento y reparación de vehículos automotores y motocicletas,False,True,apto,1.28180574423171
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,24,24,P022,Ganado porcino y otro tipo de animales vivos n.c.p.,False,True,apto,1.2812015454141
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,25,25,P010,Caña de azúcar y otras plantas azucareras,False,True,apto,1.27807240764427
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,26,26,P021,Ganado bovino,False,True,apto,1.26158207469123
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,27,27,P033,Minerales no metálicos,False,True,apto,1.25627514748444
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,28,28,P015,Palma africana,False,True,apto,1.22902659714674
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,29,29,P108,Otros servicios de apoyo al transporte,False,True,apto,1.21931369162415
