codigo,producto,multiplicador_produccion_domestica,encadenamiento_atras_normalizado,encadenamiento_adelante_normalizado,coeficiente_importacion_directa,requerimiento_importacion_total,multiplicador_valor_agregado,multiplicador_empleo_puestos_por_millon
P105,Servicio de transporte de carga por vía terrestre,1.37323148102142,0.931174354177212,2.23105606666983,0.262860182291471,0.303462895508604,0.665626043195646,10.7000802634631
P106,Otros tipos de transporte,1.44705954100446,0.981236413651502,0.721417517599419,0.171947278280164,0.228451869543886,0.751625345813594,6.30924258042255
P107,Servicios de almacenamiento y depósito,1.48789596584946,1.00892717959845,0.734001029481162,0.0124083105013699,0.0576369814392119,0.929248084832121,8.43860704408906
P108,Otros servicios de apoyo al transporte,1.57966390920112,1.07115409222435,1.21931369162415,0.0714300816518152,0.139374082078505,0.845916961900729,8.33734545843918
P109,Servicios postales y de mensajería,1.5221151882681,1.03213088762328,0.810661367934224,0.136224938934666,0.197829108911943,0.779900116074175,9.48348950398443
P110,Servicio de alojamiento,1.51213124449257,1.02536087650294,0.947071703746867,0.0904420102358263,0.154929122443265,0.828730424837773,12.2094863175414
P111,Servicio de suministro de comidas y bebidas,1.82783041002093,1.23943328209365,1.0844421371296,0.10443608004869,0.20668525340102,0.775665148475367,18.3418995390712
P112,"Servicios de información, telecomunicaciones y radiodifusión",1.3241712004404,0.897907074976904,1.59890559390801,0.121438951522165,0.152671022915695,0.83639165470332,2.68578492513726
P113,Servicios de banco central,1.82722001427535,1.23901937892289,0.678089868348048,0.0678597740845416,0.138226272008155,0.836442697480405,5.44799305485781
P114,Otros servicios financieros y servicios de banca de inversión,1.72564405512379,1.17014175015448,0.973761767256968,0.111836042213055,0.174739754322652,0.809024545580402,6.44324956138464
P115,Servicios de Intermediación Financiera Medidos Indirectamente (SIFMI),1.42203882274184,0.964270118098824,1.68539031655709,0.0247487204634003,0.0613305284402167,0.929076804755128,5.29432713080687
P116,"Servicios de seguro, reaseguro y fondos de pensiones",1.69232895842324,1.1475511206188,1.15303434142223,0.217709427380501,0.271490516608021,0.71105533021066,3.38152467887026
P117,Servicios auxiliares de la intermediación financiera,1.57091077604947,1.06521868131791,1.45823196574623,0.0278072640738142,0.0729556073499774,0.914860039405379,5.25475972818385
P118,Servicios de alquiler de vivienda,1.08741642826434,0.737366062681271,0.678089868348048,0.000985396935796516,0.0121380814565419,0.985627054226481,0.466945049277905
P119,"Otros servicios inmobiliarios, excepto alquiler de vivienda",1.38783843759411,0.941079183436552,2.35911743198053,0.0129583435201073,0.0511416039910316,0.937791446309211,6.12037125278781
P120,"Servicios jurídicos, de contabilidad, auditoría, teneduría de libros y consultoría fiscal",1.23755628738919,0.839174379989037,1.54206071044763,0.0211946703821923,0.0437898977155436,0.949335474400067,8.83273943497736
P121,Servicios de tecnología de la información,1.40364098698688,0.951794732073858,1.01533769881854,0.0983145084394567,0.13638542839165,0.849133368971836,7.40008705849186
P122,"Servicios de arquitectura e ingeniería, ensayos y análisis técnicos",1.45356007203977,0.985644357885423,1.17868282535615,0.0492883568053884,0.0862589164234966,0.899402705391768,5.75606173255686
P123,"Otros servicios profesionales, científicos y técnicos",1.36167799609589,0.923340053105093,1.93929711550732,0.0320923533658184,0.0613060097645461,0.928407476358329,8.12306716144978
P124,Servicios de publicidad y estudios de mercado,1.53022503080048,1.03763008967838,1.53433744414447,0.0874927281735582,0.142704667879913,0.841628898960413,6.6402932280692
P125,Servicios de arrendamiento o alquiler sin operador,1.36060857035232,0.922614886343431,1.55469164560983,0.0572475144461169,0.100141927343826,0.887298866908178,7.99636065345088
P126,Servicios  de agencias de empleo y de dotación de recursos humanos,1.12857197258112,0.765273220308831,1.9767485153842,0.0148205293875293,0.0268837008220466,0.969026400747297,18.7299849438834
P127,"Servicios de agencias de viajes, operadores turísticos y actividades conexas",1.48461999971634,1.00670578015453,0.685055680829524,0.0552073762834076,0.103552380725463,0.880548366680096,8.34913639115924
